"20190409","SEA","KCA",6,3
"20190410","TEX","ARI",5,2
"20190410","PIT","CHN",5,2
"20190410","MIA","CIN",1,2
"20190410","MIN","NYN",6,9
"20190410","WAS","PHI",15,1
"20190410","SDN","SFN",3,1
"20190410","LAN","SLN",2,7
"20190410","MIL","ANA",2,4
"20190410","OAK","BAL",10,3
"20190410","TBA","CHA",9,1
"20190410","CLE","DET",1,4
"20190410","NYA","HOU",6,8
"20190410","SEA","KCA",6,5
"20190411","SDN","ARI",7,6
"20190411","NYN","ATL",6,3
"20190411","PIT","CHN",0,2
"20190411","MIA","CIN",0,5
"20190411","COL","SFN",0,1
"20190411","LAN","SLN",7,11
"20190411","OAK","BAL",8,5
"20190411","TOR","BOS",6,7
"20190411","CLE","DET",4,0
"20190411","SEA","KCA",7,6
"20190412","SDN","ARI",2,1
"20190412","NYN","ATL",6,2
"20190412","ANA","CHN",1,5
"20190412","MIL","LAN",8,5
"20190412","PHI","MIA",9,1
"20190412","COL","SFN",2,3
"20190412","PIT","WAS",6,3
"20190412","BAL","BOS",4,6
"20190412","CLE","KCA",1,8
"20190412","CHA","NYA",9,6
"20190412","HOU","SEA",10,6
"20190412","OAK","TEX",8,6
"20190412","TBA","TOR",11,7
"20190413","SDN","ARI",5,4
"20190413","NYN","ATL",7,11
"20190413","ANA","CHN",6,5
"20190413","SLN","CIN",2,5
"20190413","MIL","LAN",4,1
"20190413","PHI","MIA",3,10
"20190413","COL","SFN",2,5
"20190413","PIT","WAS",2,3
"20190413","BAL","BOS",9,5
"20190413","CLE","KCA",0,3
"20190413","DET","MIN",3,4
"20190413","CHA","NYA",0,4
"20190413","HOU","SEA",3,1
"20190413","TBA","TOR",1,3
"20190414","SDN","ARI",4,8
"20190414","NYN","ATL",3,7
"20190414","SLN","CIN",9,5
"20190414","MIL","LAN",1,7
"20190414","PHI","MIA",3,1
"20190414","COL","SFN",4,0
"20190414","PIT","WAS",4,3
"20190414","BAL","BOS",0,4
"20190414","CLE","KCA",8,9
"20190414","DET","MIN",4,6
"20190414","CHA","NYA",5,2
"20190414","HOU","SEA",3,2
"20190414","OAK","TEX",7,8
"20190414","TBA","TOR",8,4
"20190415","CIN","LAN",3,4
"20190415","CHN","MIA",7,2
"20190415","SLN","MIL",7,10
"20190415","NYN","PHI",7,6
"20190415","COL","SDN",5,2
"20190415","BAL","BOS",8,1
"20190415","KCA","CHA",4,5
"20190415","TOR","MIN",5,3
"20190415","CLE","SEA",6,4
"20190415","ANA","TEX",7,12
"20190416","ARI","ATL",9,6
"20190416","CIN","LAN",1,6
"20190416","CHN","MIA",4,0
"20190416","SLN","MIL",4,8
"20190416","NYN","PHI",3,14
"20190416","COL","SDN",8,2
"20190416","SFN","WAS",7,3
"20190416","KCA","CHA",1,5
"20190416","PIT","DET",5,3
"20190416","TOR","MIN",6,5
"20190416","BOS","NYA",0,8
"20190416","HOU","OAK",9,1
"20190416","CLE","SEA",4,2
"20190416","BAL","TBA",2,4
"20190416","ANA","TEX",0,5
"20190417","ARI","ATL",3,2
"20190417","CIN","LAN",2,3
"20190417","CHN","MIA",6,0
"20190417","SLN","MIL",6,3
"20190417","NYN","PHI",2,3
"20190417","SFN","WAS",6,9
"20190417","KCA","CHA",4,3
"20190417","PIT","DET",3,2
"20190417","TOR","MIN",1,4
"20190417","BOS","NYA",3,5
"20190417","HOU","OAK",1,2
"20190417","CLE","SEA",1,0
"20190417","BAL","TBA",1,8
"20190417","ANA","TEX",4,5
"20190418","ARI","ATL",4,1
"20190418","PHI","COL",2,6
"20190418","LAN","MIL",3,1
"20190418","CIN","SDN",4,1
"20190418","SFN","WAS",2,4
"20190418","SEA","ANA",11,10
"20190418","CHA","DET",7,9
"20190418","TOR","MIN",7,4
"20190418","KCA","NYA",6,1
"20190418","BAL","TBA",6,5
"20190419","ARI","CHN",1,5
"20190419","PHI","COL",3,4
"20190419","WAS","MIA",2,3
"20190419","LAN","MIL",5,3
"20190419","SFN","PIT",1,4
"20190419","CIN","SDN",3,2
"20190419","NYN","SLN",5,4
"20190419","SEA","ANA",5,3
"20190419","CHA","DET",7,3
"20190419","KCA","NYA",2,6
"20190419","TOR","OAK",5,1
"20190419","BOS","TBA",6,4
"20190419","HOU","TEX",7,2
"20190420","ARI","CHN",6,0
"20190420","PHI","COL",8,5
"20190420","WAS","MIA",3,9
"20190420","LAN","MIL",0,5
"20190420","SFN","PIT",1,3
"20190420","CIN","SDN",4,2
"20190420","NYN","SLN",2,10
"20190420","SEA","ANA",6,5
"20190420","MIN","BAL",6,5
"20190420","MIN","BAL",16,7
"20190420","ATL","CLE",4,8
"20190420","ATL","CLE",8,7
"20190420","KCA","NYA",2,9
"20190420","TOR","OAK",10,1
"20190420","BOS","TBA",6,5
"20190420","HOU","TEX",4,9
"20190421","ARI","CHN",1,2
"20190421","PHI","COL",1,4
"20190421","WAS","MIA",5,0
"20190421","LAN","MIL",6,5
"20190421","SFN","PIT",3,2
"20190421","CIN","SDN",3,4
"20190421","NYN","SLN",4,6
"20190421","SEA","ANA",6,8
"20190421","MIN","BAL",4,3
"20190421","ATL","CLE",11,5
"20190421","CHA","DET",3,4
"20190421","KCA","NYA",6,7
"20190421","TOR","OAK",5,4
"20190421","BOS","TBA",4,3
"20190421","HOU","TEX",10,11
"20190422","WAS","COL",5,7
"20190422","PHI","NYN",1,5
"20190422","ARI","PIT",12,4
"20190422","MIL","SLN",5,13
"20190422","NYA","ANA",4,3
"20190422","CHA","BAL",12,2
"20190422","MIN","HOU",9,5
"20190422","TEX","OAK",1,6
"20190422","KCA","TBA",3,6
"20190423","LAN","CHN",2,7
"20190423","ATL","CIN",6,7
"20190423","WAS","COL",6,3
"20190423","PHI","NYN",0,9
"20190423","ARI","PIT",2,1
"20190423","SEA","SDN",3,6
"20190423","MIL","SLN",3,4
"20190423","NYA","ANA",7,5
"20190423","CHA","BAL",1,9
"20190423","DET","BOS",7,4
"20190423","DET","BOS",4,2
"20190423","MIA","CLE",3,1
"20190423","MIN","HOU",4,10
"20190423","TEX","OAK",5,11
"20190423","KCA","TBA",2,5
"20190423","SFN","TOR",7,6
"20190424","LAN","CHN",6,7
"20190424","ATL","CIN",3,1
"20190424","WAS","COL",5,9
"20190424","PHI","NYN",6,0
"20190424","ARI","PIT",11,2
"20190424","SEA","SDN",0,1
"20190424","MIL","SLN",2,5
"20190424","NYA","ANA",6,5
"20190424","CHA","BAL",3,4
"20190424","DET","BOS",4,11
"20190424","MIA","CLE",2,6
"20190424","MIN","HOU",1,7
"20190424","TEX","OAK",5,6
"20190424","KCA","TBA",10,2
"20190424","SFN","TOR",4,0
"20190425","LAN","CHN",2,1
"20190425","ATL","CIN",2,4
"20190425","MIA","PHI",3,1
"20190425","ARI","PIT",5,0
"20190425","NYA","ANA",5,11
"20190425","DET","BOS",3,7
"20190425","CLE","HOU",2,1
"20190425","TEX","SEA",2,14
"20190426","CHN","ARI",3,8
"20190426","COL","ATL",8,4
"20190426","PIT","LAN",2,6
"20190426","MIL","NYN",10,2
"20190426","MIA","PHI",0,4
"20190426","NYA","SFN",7,3
"20190426","CIN","SLN",12,1
"20190426","SDN","WAS",4,3
"20190426","DET","CHA",11,12
"20190426","CLE","HOU",6,3
"20190426","ANA","KCA",5,1
"20190426","BAL","MIN",1,6
"20190426","TEX","SEA",4,5
"20190426","OAK","TOR",2,4
"20190427","CHN","ARI",9,1
"20190427","COL","ATL",9,5
"20190427","PIT","LAN",1,3
"20190427","MIL","NYN",8,6
"20190427","MIA","PHI",9,12
"20190427","NYA","SFN",6,4
"20190427","CIN","SLN",3,6
"20190427","SDN","WAS",8,3
"20190427","TBA","BOS",2,1
"20190427","CLE","HOU",3,4
"20190427","ANA","KCA",4,9
"20190427","BAL","MIN",2,9
"20190427","TEX","SEA",15,1
"20190427","OAK","TOR",1,7
"20190428","CHN","ARI",6,5
"20190428","COL","ATL",7,8
"20190428","PIT","LAN",6,7
"20190428","MIL","NYN",2,5
"20190428","MIA","PHI",1,5
"20190428","NYA","SFN",11,5
"20190428","CIN","SLN",2,5
"20190428","SDN","WAS",6,7
"20190428","TBA","BOS",5,2
"20190428","DET","CHA",1,4
"20190428","CLE","HOU",1,4
"20190428","ANA","KCA",7,3
"20190428","BAL","MIN",1,4
"20190428","TEX","SEA",14,1
"20190428","OAK","TOR",4,5
"20190429","SDN","ATL",1,3
"20190429","COL","MIL",1,5
"20190429","CIN","NYN",5,4
"20190429","LAN","SFN",2,3
"20190429","SLN","WAS",6,3
"20190429","OAK","BOS",4,9
"20190429","BAL","CHA",3,5
"20190429","TBA","KCA",8,5
"20190429","HOU","MIN",0,1
"20190430","NYA","ARI",1,3
"20190430","SDN","ATL",4,3
"20190430","CLE","MIA",7,4
"20190430","COL","MIL",3,4
"20190430","CIN","NYN",3,4
"20190430","DET","PHI",3,1
"20190430","LAN","SFN",10,3
"20190430","SLN","WAS",3,2
"20190430","TOR","ANA",3,4
"20190430","OAK","BOS",1,5
"20190430","HOU","MIN",11,0
"20190430","CHN","SEA",6,5
"20190430","PIT","TEX",6,4
"20190501","NYA","ARI",2,3
"20190501","SDN","ATL",1,5
"20190501","CLE","MIA",2,4
"20190501","COL","MIL",11,4
"20190501","CIN","NYN",1,0
"20190501","DET","PHI",3,7
"20190501","LAN","SFN",1,2
"20190501","SLN","WAS",5,1
"20190501","TOR","ANA",3,6
"20190501","OAK","BOS",3,7
"20190501","BAL","CHA",5,4
"20190501","BAL","CHA",6,7
"20190501","TBA","KCA",2,3
"20190501","TBA","KCA",2,8
"20190501","HOU","MIN",2,6
"20190501","CHN","SEA",11,0
"20190501","PIT","TEX",7,5
"20190502","SDN","ATL",11,2
"20190502","COL","MIL",11,6
"20190502","CIN","NYN",0,1
"20190502","SLN","WAS",1,2
"20190502","TOR","ANA",2,6
"20190502","BOS","CHA",4,6
"20190502","TBA","KCA",3,1
"20190502","HOU","MIN",2,8
"20190503","SLN","CHN",0,4
"20190503","SFN","CIN",12,11
"20190503","ARI","COL",10,9
"20190503","ATL","MIA",7,2
"20190503","NYN","MIL",1,3
"20190503","WAS","PHI",2,4
"20190503","OAK","PIT",14,1
"20190503","LAN","SDN",4,3
