time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-08T04:24:33.407Z,63.3375,-144.932,4.2,1.4,ml,,,,0.28,ak,ak0221skhhek,2022-02-08T04:31:07.977Z,"37 km SSW of Dry Creek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-08T04:05:25.200Z,33.3748333,-116.875,5.84,0.84,ml,29,38,0.02356,0.16,ci,ci40179712,2022-02-08T04:09:05.469Z,"2km NNW of Palomar Observatory, CA",earthquake,0.23,1.05,0.102,23,automatic,ci,ci
2022-02-08T03:55:24.270Z,38.8231659,-122.7666702,2,0.21,md,8,115,0.007722,0.02,nc,nc73689926,2022-02-08T05:30:17.488Z,"4km W of Cobb, CA",earthquake,0.53,0.96,0.16,2,automatic,nc,nc
2022-02-08T03:45:43.270Z,19.211,-155.4305,32.7,1.54,md,14,247,,0.1,hv,hv72908232,2022-02-08T04:10:49.290Z,"5 km E of Pāhala, Hawaii",earthquake,0.81,0.89,0.0976030544702911,5,reviewed,hv,hv
2022-02-08T03:39:30.750Z,37.4685,-118.844,1.06,0.58,md,11,135,0.1219,0.02,nc,nc73689921,2022-02-08T05:55:17.643Z,"18km SW of Toms Place, CA",earthquake,0.78,2.87,0.214,10,reviewed,nc,nc
2022-02-08T03:32:38.640Z,33.7703333,-115.9966667,0.32,0.96,ml,24,101,0.137,0.3,ci,ci40179704,2022-02-08T03:36:11.130Z,"19km ENE of Coachella, CA",earthquake,0.64,31.61,0.106,21,automatic,ci,ci
2022-02-08T02:52:26.811Z,62.9085,-151.542,0,1.5,ml,,,,0.97,ak,ak0221sjgls0,2022-02-08T03:02:39.656Z,"60 km NW of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-02-08T02:46:21.490Z,38.7908325,-122.7621689,1.51,0.53,md,14,78,0.009965,0.02,nc,nc73689916,2022-02-08T04:36:11.192Z,"2km NNW of The Geysers, CA",earthquake,0.27,0.55,0.38,2,automatic,nc,nc
2022-02-08T02:34:05.970Z,19.4213333333333,-155.614,-1.34,2.31,ml,41,66,,0.17,hv,hv72908162,2022-02-08T03:01:52.490Z,"26 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.18,0.28,0.124805977923906,18,reviewed,hv,hv
2022-02-08T02:33:26.260Z,19.2083339691162,-155.386672973633,31.7600002288818,2.19,ml,31,170,,0.119999997,hv,hv72908157,2022-02-08T02:38:56.990Z,"9 km E of Pāhala, Hawaii",earthquake,0.83,0.709999979,4.04,14,automatic,hv,hv
2022-02-08T02:28:43.444Z,-30.327,-177.8385,18.65,5,mb,,131,1.063,0.95,us,us7000gj09,2022-02-08T03:20:30.040Z,"Kermadec Islands, New Zealand",earthquake,11.7,4.8,0.118,23,reviewed,us,us
2022-02-08T02:19:03.170Z,32.638,-115.7233333,5.28,1.69,ml,23,117,0.01159,0.24,ci,ci40179696,2022-02-08T02:29:46.520Z,"15km WNW of Progreso, B.C., MX",earthquake,0.5,0.51,0.198,28,automatic,ci,ci
2022-02-08T02:15:30.170Z,38.8300018,-122.8548355,1.74,0.85,md,17,64,0.002924,0.05,nc,nc73689906,2022-02-08T04:10:11.161Z,"10km NW of The Geysers, CA",earthquake,0.23,0.5,0.02,3,automatic,nc,nc
